"dateTime","value","day","weekendFlag","hours","TimeFrame"
2018-03-25,378,"Sunday",1,6.3,"Pre"
2018-03-26,405,"Monday",0,6.75,"Pre"
2018-03-27,561,"Tuesday",0,9.35,"Pre"
2018-03-28,353,"Wednesday",0,5.88,"Pre"
2018-03-29,445,"Thursday",0,7.42,"Pre"
2018-03-30,538,"Friday",0,8.97,"Pre"
2018-03-31,423,"Saturday",1,7.05,"Pre"
2018-04-01,271,"Sunday",1,4.52,"Pre"
2018-04-02,522,"Monday",0,8.7,"Pre"
2018-04-03,244,"Tuesday",0,4.07,"Pre"
2018-04-04,473,"Wednesday",0,7.88,"Pre"
2018-04-05,586,"Thursday",0,9.77,"Pre"
2018-04-06,421,"Friday",0,7.02,"Pre"
2018-04-07,585,"Saturday",1,9.75,"Pre"
2018-04-08,551,"Sunday",1,9.18,"Pre"
2018-04-09,458,"Monday",0,7.63,"Pre"
2018-04-10,528,"Tuesday",0,8.8,"Pre"
2018-04-11,416,"Wednesday",0,6.93,"Pre"
2018-04-12,412,"Thursday",0,6.87,"Pre"
2018-04-13,466,"Friday",0,7.77,"Pre"
2018-04-14,560,"Saturday",1,9.33,"Pre"
2018-04-15,444,"Sunday",1,7.4,"Pre"
2018-04-16,517,"Monday",0,8.62,"Pre"
2018-04-17,432,"Tuesday",0,7.2,"Pre"
2018-04-18,403,"Wednesday",0,6.72,"Pre"
2018-04-19,515,"Thursday",0,8.58,"Pre"
2018-04-20,387,"Friday",0,6.45,"Pre"
2018-04-21,459,"Saturday",1,7.65,"Pre"
2018-04-22,443,"Sunday",1,7.38,"Pre"
2018-04-23,458,"Monday",0,7.63,"Pre"
2018-04-24,473,"Tuesday",0,7.88,"Pre"
2018-04-25,364,"Wednesday",0,6.07,"Pre"
2018-04-26,439,"Thursday",0,7.32,"Pre"
2018-04-27,436,"Friday",0,7.27,"Pre"
2018-04-28,448,"Saturday",1,7.47,"Pre"
2018-04-29,416,"Sunday",1,6.93,"Pre"
2018-04-30,534,"Monday",0,8.9,"Pre"
2018-05-01,456,"Tuesday",0,7.6,"Pre"
2018-05-02,386,"Wednesday",0,6.43,"Pre"
2018-05-03,477,"Thursday",0,7.95,"Pre"
2018-05-04,393,"Friday",0,6.55,"Pre"
2018-05-05,504,"Saturday",1,8.4,"Pre"
2018-05-06,464,"Sunday",1,7.73,"Pre"
